Algorithm;Difference;Doctor;PartNum;EffectDirection
3,957708037014810;1,977840742380994;5,935548779395804;1;Positive
3,664076643334905;2,036461985586120;5,700538628921025;2;Positive
3,012681086831794;0,166074697830908;3,178755784662703;3;Positive
6,717158415191278;1,776650874049789;8,493809289241067;4;Positive
2,686357678117692;0,660134448912301;3,346492127029993;5;Positive
5,132494492945314;2,276499531440368;7,408994024385683;6;Positive
5,679207983169285;1,165482574430651;6,844690557599936;7;Positive
2,029022023769860;1,425303169809532;3,454325193579392;8;Positive
2,810210026776125;3,144283743730515;5,954493770506639;9;Positive
4,127600177571447;2,303629613107344;6,431229790678792;10;Positive
5,537351036327468;2,677003240839316;8,214354277166784;11;Positive
7,048731943332706;1,165220923203238;8,213952866535944;12;Positive
4,581272529314518;3,572983570064647;8,154256099379165;13;Positive
1,012019881743706;1,341264209932577;2,353284091676283;14;Positive
3,935903868199251;2,342353184596776;6,278257052796027;15;Positive
7,334502555940229;4,709175136343120;12,043677692283350;16;Positive
3,525748072695551;2,393709379525975;5,919457452221526;17;Positive
4,585599587821539;2,040879364614636;6,626478952436175;18;Positive
4,739756115637551;2,935938959909380;7,675695075546931;19;Positive
2,509535540318319;2,597130147503340;5,106665687821659;20;Positive
5,235605420011833;3,360240512634171;8,595845932646004;21;Positive
5,667011533317940;1,970753582824964;7,637765116142905;22;Positive
3,875510360910620;1,529582611089958;5,405092972000578;23;Positive
3,503996059081596;3,450222418940419;6,954218478022016;24;Positive
5,193582831219086;0,173809067590319;5,367391898809405;25;Positive
5,662706039859110;2,032679396028493;7,695385435887603;26;Positive
2,778310516395085;2,563177139394345;5,341487655789430;27;Positive
4,805549881230137;2,732284058294948;7,537833939525085;28;Positive
3,667650795356724;1,350482403181343;5,018133198538067;29;Positive
7,181697299177418;0,593647054212936;7,775344353390354;30;Positive
1,986739632335246;0,000000000000000;1,986739632335246;31;No Change
6,746455523766839;0,000000000000000;6,746455523766839;32;No Change
4,998138361063164;0,000000000000000;4,998138361063164;33;No Change
5,742242125205657;0,000000000000000;5,742242125205657;34;No Change
5,420898622996620;0,000000000000000;5,420898622996620;35;No Change
5,116430093227460;0,000000000000000;5,116430093227460;36;No Change
8,275765384909487;0,000000000000000;8,275765384909487;37;No Change
0,898088665946438;0,000000000000000;0,898088665946438;38;No Change
5,466484868742876;0,000000000000000;5,466484868742876;39;No Change
3,727197326552489;0,000000000000000;3,727197326552489;40;No Change
7,376680347667442;0,000000000000000;7,376680347667442;41;No Change
3,372656581239142;0,000000000000000;3,372656581239142;42;No Change
4,975311564185278;0,000000000000000;4,975311564185278;43;No Change
3,031644469323005;0,000000000000000;3,031644469323005;44;No Change
7,975889399728944;0,000000000000000;7,975889399728944;45;No Change
5,509025430666648;0,000000000000000;5,509025430666648;46;No Change
3,105182035604220;0,000000000000000;3,105182035604220;47;No Change
5,931387881023661;0,000000000000000;5,931387881023661;48;No Change
6,221598678654505;0,000000000000000;6,221598678654505;49;No Change
4,958815652963407;0,000000000000000;4,958815652963407;50;No Change
7,336077559129413;0,000000000000000;7,336077559129413;51;No Change
2,395109518940310;0,000000000000000;2,395109518940310;52;No Change
5,775553002704443;0,000000000000000;5,775553002704443;53;No Change
3,694435860800322;0,000000000000000;3,694435860800322;54;No Change
5,225868271001839;0,000000000000000;5,225868271001839;55;No Change
6,053614937465317;0,000000000000000;6,053614937465317;56;No Change
3,557550966595370;0,000000000000000;3,557550966595370;57;No Change
5,858008073397397;0,000000000000000;5,858008073397397;58;No Change
5,325942516755306;0,000000000000000;5,325942516755306;59;No Change
5,823942903413852;0,000000000000000;5,823942903413852;60;No Change
4,195110602916407;0,000000000000000;4,195110602916407;61;No Change
4,809126415653477;0,000000000000000;4,809126415653477;62;No Change
3,949737036113186;0,000000000000000;3,949737036113186;63;No Change
6,272046132550205;0,000000000000000;6,272046132550205;64;No Change
2,742295052833581;0,000000000000000;2,742295052833581;65;No Change
6,764314805918044;0,000000000000000;6,764314805918044;66;No Change
2,770420578589296;0,000000000000000;2,770420578589296;67;No Change
4,917965247944767;0,000000000000000;4,917965247944767;68;No Change
3,524784823587129;0,000000000000000;3,524784823587129;69;No Change
8,254988524301965;0,000000000000000;8,254988524301965;70;No Change
6,596806670016345;0,000000000000000;6,596806670016345;71;No Change
4,219345383695004;0,000000000000000;4,219345383695004;72;No Change
5,046559367604506;0,000000000000000;5,046559367604506;73;No Change
5,667409492277343;0,000000000000000;5,667409492277343;74;No Change
4,033503198844609;0,000000000000000;4,033503198844609;75;No Change
7,560895745653308;0,000000000000000;7,560895745653308;76;No Change
4,877190193825585;0,000000000000000;4,877190193825585;77;No Change
4,136164443231281;0,000000000000000;4,136164443231281;78;No Change
5,209816078037672;0,000000000000000;5,209816078037672;79;No Change
6,572909772701579;0,000000000000000;6,572909772701579;80;No Change
3,469473861445564;0,000000000000000;3,469473861445564;81;No Change
7,603484365484685;0,000000000000000;7,603484365484685;82;No Change
6,014784700313498;0,000000000000000;6,014784700313498;83;No Change
8,463143037454245;0,000000000000000;8,463143037454245;84;No Change
6,148616903150229;0,000000000000000;6,148616903150229;85;No Change
6,110966171279241;0,000000000000000;6,110966171279241;86;No Change
4,408507344267420;0,000000000000000;4,408507344267420;87;No Change
6,697511645268865;0,000000000000000;6,697511645268865;88;No Change
4,471400510912873;0,000000000000000;4,471400510912873;89;No Change
4,239968867356509;0,000000000000000;4,239968867356509;90;No Change
6,526426064946427;-2,833005432977944;3,693420631968483;91;Negative
7,101228304071803;-2,492503756276687;4,608724547795116;92;Negative
6,332840547644029;-3,216024217321380;3,116816330322648;93;Negative
4,065627003454409;-2,304032521337975;1,761594482116434;94;Negative
3,186143890538721;-1,666136783725664;1,520007106813057;95;Negative
5,593638979988879;-0,275131544364795;5,318507435624084;96;Negative
2,630514775306538;-2,011886199271984;0,618628576034554;97;Negative
6,064789418052737;-1,598863630222592;4,465925787830145;98;Negative
6,020366785874718;-2,017390775876010;4,002976009998708;99;Negative
3,862269950458456;-1,199586972168932;2,662682978289524;100;Negative
